product_sku,total_ordered,product_name,stock_level,restocking_lead_time,sentiment_score,sentiment_magnitude,ratio
GGOEGALQ036613,2, Women's Scoop Neck Tee White,59,6,0.5,0.8,0.033898305
GGOEGOCB078299,250, Leather Journal-Black,354,10,0.5,0.8,0.706214689
GGOEGAAJ032815,4, Men's Long & Lean Tee Charcoal,251,19,0.5,0.8,0.015936255
GGOEGAAL010613,10, Men's 100% Cotton Short Sleeve Hero Tee Navy,37,16,0.7,1.1,0.27027027
GGOEGAAX0731,2, Men's Fleece Hoodie Black,142,17,0.3,1.1,0.014084507
GGOEGAEQ027915,4, Women's Short Sleeve Hero Tee White,51,12,0.7,1.1,0.078431373
GGOEAAEJ033415,6,Android Men's Long Sleeve Badge Crew Tee Heather,92,8,0.7,1.1,0.065217391
GGOEGKWQ060910,7, Bib White,116,6,0.7,1.1,0.060344828
GGOEGDHC015299,10,23 oz Wide Mouth Sport Bottle,142,12,0.7,1.1,0.070422535
GGOEGAAX0651,3, Toddler Short Sleeve Tee Red,71,18,0.7,1.1,0.042253521
GGOEAAAP081214,3,Android Men's Take Charge Short Sleeve Tee Purple,68,8,0.7,1.1,0.044117647
GGOEGAAX0074,40, 22 oz Water Bottle,15607,2,0.7,1.1,0.002562953
GGOEGAYB068026,8, Youth Baseball Raglan Heather/Black,21,16,0.7,1.1,0.380952381
GGOEGAAJ032814,3, Men's Long & Lean Tee Charcoal,295,15,0.7,1.1,0.010169492
GGOEGAAX0297,1, Women's Short Sleeve Hero Tee Red Heather,16,6,0.3,1.1,0.0625
GGOEGCKQ013199,6,1 oz Hand Sanitizer,679,3,0.5,1.1,0.008836524
GGOEGAAB033814,1, Men's Vintage Badge Tee Black,395,14,0.7,1.1,0.002531646
GGOEGATB060214,3, Women's 1/4 Zip Performance Pullover Black,8,19,0.7,1.1,0.375
GGOEGHGC019799,35, Sunglasses,2444,13,0.4,1.1,0.014320786
GGOEGAAX0366,2, Women's Scoop Neck Tee White,81,18,0.6,1.6,0.024691358
GGOEGBJC019999,43,Collapsible Shopping Bag,117,11,0.5,0.9,0.367521368
GGOEGAAX0622,2, Infant Short Sleeve Tee White,55,19,0.6,0.9,0.036363636
GGOEGGCX056299,5,Gift Card - $25.00,107,10,0.6,0.9,0.046728972
GGOEYAFB073115,2, Men's Fleece Hoodie Black,175,17,0.5,0.9,0.011428571
GGOEGAAX0104,15, Men's 100% Cotton Short Sleeve Hero Tee White,749,12,0.2,0.9,0.020026702
GGOEGKWR060810,7, Bib Red,44,15,0.6,0.9,0.159090909
GGOEGOCB017499,319,Leatherette Journal,4978,36,0.5,0.9,0.064081961
GGOEGAAX0106,13, Men's 100% Cotton Short Sleeve Hero Tee Navy,29,6,0.2,0.9,0.448275862
GGOEGESQ016799,10,Plastic Sliding Flashlight,2561,14,0.5,0.9,0.003904725
GGOEGAAJ032716,8, Men's Long & Lean Tee Grey,26,17,0.6,0.9,0.307692308
GGOEA0CH077599,15,Android Hard Cover Journal,102,17,0.5,0.9,0.147058824
GGOEGAAJ032714,1, Men's Long & Lean Tee Grey,81,14,0.6,0.9,0.012345679
GGOEAHPJ004314,1,Android Stretch Fit Hat M/L,59,13,0.5,0.9,0.016949153
GGOEGAAJ080615,8, Men's Bike Short Sleeve Tee Charcoal,129,5,0.6,0.9,0.062015504
GGOEWFKA082999,6, Baby on Board Window Decal,415,11,0.6,0.9,0.014457831
GGOEGAAX0278,3, Women's Short Sleeve Hero Tee Black,121,16,0.2,0.9,0.024793388
GGOEGAWR061850,1, Infant Short Sleeve Tee Red,4,13,0.5,0.9,0.25
GGOEGAAB010514,6, Men's 100% Cotton Short Sleeve Hero Tee Black,1101,10,0.5,0.9,0.005449591
GGOEGAAX0680,5, Youth Baseball Raglan Heather/Black,28,13,0.6,0.9,0.178571429
GGOEGFKQ020799,34, Doodle Decal,2080,5,0.5,0.9,0.016346154
GGOEGAWR061848,7, Infant Short Sleeve Tee Red,18,19,0.6,0.9,0.388888889
GGOEGBRJ037299,3, Alpine Style Backpack,272,12,0.6,0.9,0.011029412
GGOEGAAX0037,146, Sunglasses,6805,5,0.5,0.9,0.021454813
GGOEGOCD078399,39, Leather Perforated Journal,1305,13,0.8,1.3,0.029885057
GGOEGHPB071610,3, Twill Cap,1755,5,0.8,1.3,0.001709402
GGOEGAEB027813,1, Women's Short Sleeve Hero Tee Black,252,11,0.8,1.3,0.003968254
GGOEGCNB021099,9,Seat Pack Organizer,304,11,-0.4,1.3,0.029605263
GGOEGDHC074099,334, 17oz Stainless Steel Sport Bottle,1390,13,0.8,1.3,0.24028777
GGOEGAFB035816,3, Men's  Zip Hoodie,41,10,0.8,1.3,0.073170732
GGOEGDHC018299,23, 22 oz Water Bottle,19678,4,0.9,1.3,0.001168818
GGOEGATJ060516,2, Women's Quilted Insulated Vest White,5,5,0.8,1.3,0.4
GGOEGAAX0655,2, Toddler Short Sleeve T-shirt Grey,123,5,0.8,1.3,0.016260163
GGOEAAAQ032013,6,Android Men's Short Sleeve Hero Tee White,95,15,0.9,1.3,0.063157895
GGOEGAAX0682,3, Youth Short Sleeve Tee Red,31,14,0.9,1.3,0.096774194
GGOEAAEJ033414,8,Android Men's Long Sleeve Badge Crew Tee Heather,95,13,0.8,1.3,0.084210526
GGOEGAAC035016,2, Men's Bayside Graphic Tee,3,14,0.9,1.3,0.666666667
GGOEGAEJ028015,6, Women's Short Sleeve Hero Tee Grey,138,16,0.8,1.3,0.043478261
GGOEWEBB082699,4, Mobile Phone Vent Mount,129,15,0.7,1.3,0.031007752
GGOEGOCL077699,20, Hard Cover Journal,2171,14,0.9,1.3,0.009212345
GGOEAAEH035213,4,Android Men's Vintage Henley,19,6,0.8,1.3,0.210526316
GGOEGAAX0606,1, Women's Convertible Vest-Jacket Black,48,10,-0.3,1.8,0.020833333
GGOEGAAX0334,2,Android Men's Long Sleeve Badge Crew Tee Heather,87,13,-0.1,1.8,0.022988506
GGOEGAAX0581,0, Women's Colorblock Tee White,0,8,0.8,2,
9182755,0, Men's Colorblock Tee White/Heather,0,14,0.3,0.5,
9184720,0, Women's Short Sleeve Hero Tee Sky Blue,0,16,0.3,0.5,
9182723,0, Men's 100% Cotton Short Sleeve Hero Tee White,0,11,0.3,0.5,
9180850,0,Ballpoint Stylus Pen,0,6,0.3,0.5,
